question,answer
hi 0,Hello! How can I help you today?
hello 0,Hi there! 😊
how are you 0,I'm doing great! How about you?
what is environment 1,Environment includes all living and non-living things around us.
why is environment important 1,It supports life and maintains ecological balance.
what is lion 2,Lion is known as the king of jungle.
what do animals eat 2,Animals eat plants or other animals depending on type.
what is bird 3,Birds are animals with feathers and wings.
can birds fly 3,Most birds can fly except some like penguins.
how to study better 4,Make a schedule and revise regularly.
how to focus 4,Avoid distractions and take breaks.
how to remove acne 5,Use gentle cleanser and avoid oily food.
how to get glowing skin 5,Drink water and maintain skincare routine.
hi 6,Hello! How can I help you today?
hello 6,Hi there! 😊
how are you 6,I'm doing great! How about you?
what is environment 7,Environment includes all living and non-living things around us.
why is environment important 7,It supports life and maintains ecological balance.
what is lion 8,Lion is known as the king of jungle.
what do animals eat 8,Animals eat plants or other animals depending on type.
what is bird 9,Birds are animals with feathers and wings.
can birds fly 9,Most birds can fly except some like penguins.
how to study better 10,Make a schedule and revise regularly.
how to focus 10,Avoid distractions and take breaks.
how to remove acne 11,Use gentle cleanser and avoid oily food.
how to get glowing skin 11,Drink water and maintain skincare routine.
hi 12,Hello! How can I help you today?
hello 12,Hi there! 😊
how are you 12,I'm doing great! How about you?
what is environment 13,Environment includes all living and non-living things around us.
why is environment important 13,It supports life and maintains ecological balance.
what is lion 14,Lion is known as the king of jungle.
what do animals eat 14,Animals eat plants or other animals depending on type.
what is bird 15,Birds are animals with feathers and wings.
can birds fly 15,Most birds can fly except some like penguins.
how to study better 16,Make a schedule and revise regularly.
how to focus 16,Avoid distractions and take breaks.
how to remove acne 17,Use gentle cleanser and avoid oily food.
how to get glowing skin 17,Drink water and maintain skincare routine.
hi 18,Hello! How can I help you today?
hello 18,Hi there! 😊
how are you 18,I'm doing great! How about you?
what is environment 19,Environment includes all living and non-living things around us.
why is environment important 19,It supports life and maintains ecological balance.
what is lion 20,Lion is known as the king of jungle.
what do animals eat 20,Animals eat plants or other animals depending on type.
what is bird 21,Birds are animals with feathers and wings.
can birds fly 21,Most birds can fly except some like penguins.
how to study better 22,Make a schedule and revise regularly.
how to focus 22,Avoid distractions and take breaks.
how to remove acne 23,Use gentle cleanser and avoid oily food.
how to get glowing skin 23,Drink water and maintain skincare routine.
hi 24,Hello! How can I help you today?
hello 24,Hi there! 😊
how are you 24,I'm doing great! How about you?
what is environment 25,Environment includes all living and non-living things around us.
why is environment important 25,It supports life and maintains ecological balance.
what is lion 26,Lion is known as the king of jungle.
what do animals eat 26,Animals eat plants or other animals depending on type.
what is bird 27,Birds are animals with feathers and wings.
can birds fly 27,Most birds can fly except some like penguins.
how to study better 28,Make a schedule and revise regularly.
how to focus 28,Avoid distractions and take breaks.
how to remove acne 29,Use gentle cleanser and avoid oily food.
how to get glowing skin 29,Drink water and maintain skincare routine.
hi 30,Hello! How can I help you today?
hello 30,Hi there! 😊
how are you 30,I'm doing great! How about you?
what is environment 31,Environment includes all living and non-living things around us.
why is environment important 31,It supports life and maintains ecological balance.
what is lion 32,Lion is known as the king of jungle.
what do animals eat 32,Animals eat plants or other animals depending on type.
what is bird 33,Birds are animals with feathers and wings.
can birds fly 33,Most birds can fly except some like penguins.
how to study better 34,Make a schedule and revise regularly.
how to focus 34,Avoid distractions and take breaks.
how to remove acne 35,Use gentle cleanser and avoid oily food.
how to get glowing skin 35,Drink water and maintain skincare routine.
hi 36,Hello! How can I help you today?
hello 36,Hi there! 😊
how are you 36,I'm doing great! How about you?
what is environment 37,Environment includes all living and non-living things around us.
why is environment important 37,It supports life and maintains ecological balance.
what is lion 38,Lion is known as the king of jungle.
what do animals eat 38,Animals eat plants or other animals depending on type.
what is bird 39,Birds are animals with feathers and wings.
can birds fly 39,Most birds can fly except some like penguins.
how to study better 40,Make a schedule and revise regularly.
how to focus 40,Avoid distractions and take breaks.
how to remove acne 41,Use gentle cleanser and avoid oily food.
how to get glowing skin 41,Drink water and maintain skincare routine.
hi 42,Hello! How can I help you today?
hello 42,Hi there! 😊
how are you 42,I'm doing great! How about you?
what is environment 43,Environment includes all living and non-living things around us.
why is environment important 43,It supports life and maintains ecological balance.
what is lion 44,Lion is known as the king of jungle.
what do animals eat 44,Animals eat plants or other animals depending on type.
what is bird 45,Birds are animals with feathers and wings.
can birds fly 45,Most birds can fly except some like penguins.
how to study better 46,Make a schedule and revise regularly.
how to focus 46,Avoid distractions and take breaks.
how to remove acne 47,Use gentle cleanser and avoid oily food.
how to get glowing skin 47,Drink water and maintain skincare routine.
hi 48,Hello! How can I help you today?
hello 48,Hi there! 😊
how are you 48,I'm doing great! How about you?
what is environment 49,Environment includes all living and non-living things around us.
why is environment important 49,It supports life and maintains ecological balance.
what is lion 50,Lion is known as the king of jungle.
what do animals eat 50,Animals eat plants or other animals depending on type.
what is bird 51,Birds are animals with feathers and wings.
can birds fly 51,Most birds can fly except some like penguins.
how to study better 52,Make a schedule and revise regularly.
how to focus 52,Avoid distractions and take breaks.
how to remove acne 53,Use gentle cleanser and avoid oily food.
how to get glowing skin 53,Drink water and maintain skincare routine.
hi 54,Hello! How can I help you today?
hello 54,Hi there! 😊
how are you 54,I'm doing great! How about you?
what is environment 55,Environment includes all living and non-living things around us.
why is environment important 55,It supports life and maintains ecological balance.
what is lion 56,Lion is known as the king of jungle.
what do animals eat 56,Animals eat plants or other animals depending on type.
what is bird 57,Birds are animals with feathers and wings.
can birds fly 57,Most birds can fly except some like penguins.
how to study better 58,Make a schedule and revise regularly.
how to focus 58,Avoid distractions and take breaks.
how to remove acne 59,Use gentle cleanser and avoid oily food.
how to get glowing skin 59,Drink water and maintain skincare routine.
hi 60,Hello! How can I help you today?
hello 60,Hi there! 😊
how are you 60,I'm doing great! How about you?
what is environment 61,Environment includes all living and non-living things around us.
why is environment important 61,It supports life and maintains ecological balance.
what is lion 62,Lion is known as the king of jungle.
what do animals eat 62,Animals eat plants or other animals depending on type.
